x,y,z,blade_engaged
0.013299,0.003362,0.057668,1
0.013286,0.003361,0.057676,1
0.013134,0.003565,0.057715,1
0.013166,0.003636,0.057675,1
0.013199,0.003707,0.057635,1
0.013231,0.003779,0.057595,1
0.012879,0.004037,0.057750,1
0.012889,0.004143,0.057712,1
0.012900,0.004249,0.057675,1
0.012946,0.004344,0.057616,1
0.012855,0.004447,0.057642,1
0.012809,0.004567,0.057633,1
0.012762,0.004687,0.057623,1
0.012716,0.004808,0.057614,1
0.012721,0.004977,0.057557,1
0.012708,0.005041,0.057543,1
0.012658,0.005179,0.057523,1
0.012661,0.005287,0.057481,1
0.012665,0.005396,0.057439,1
0.012441,0.005690,0.057469,1
0.012443,0.005686,0.057470,1
0.012443,0.005686,0.057470,1
0.012220,0.005956,0.057490,1
0.012240,0.006042,0.057441,1
0.012258,0.006129,0.057393,1
0.012226,0.006182,0.057388,1
0.012306,0.006262,0.057307,1
0.011906,0.006583,0.057377,1
0.011932,0.006655,0.057328,1
0.011937,0.006664,0.057321,1
0.011873,0.006761,0.057304,1
0.011804,0.006869,0.057283,1
0.011838,0.007093,0.057152,1
0.011813,0.007091,0.057165,1
0.011860,0.007341,0.057002,1
0.011663,0.007456,0.057030,1
0.011644,0.007453,0.057039,1
0.011631,0.007581,0.056965,1
0.011543,0.007670,0.056948,1
0.011455,0.007759,0.056930,1
0.011419,0.007787,0.056927,1
0.011337,0.007813,0.056940,1
0.011263,0.008104,0.056774,1
0.011261,0.008107,0.056773,1
0.011259,0.008107,0.056774,1
0.010993,0.008368,0.056681,1
0.011042,0.008428,0.056621,1
0.010987,0.008496,0.056588,1
0.010933,0.008432,0.056653,1
0.010930,0.008692,0.056459,1
0.010767,0.008792,0.056435,1
0.010777,0.008804,0.056423,1
0.010790,0.008985,0.056276,1
0.010455,0.009087,0.056288,1
0.010477,0.009119,0.056257,1
0.010498,0.009149,0.056227,1
0.010397,0.009334,0.056100,1
0.010288,0.009373,0.056094,1
0.010210,0.009395,0.056093,1
0.010084,0.009501,0.056030,1
0.010066,0.009493,0.056041,1
0.009874,0.009598,0.055993,1
0.009815,0.009686,0.055929,1
0.009723,0.009766,0.055880,1
0.009733,0.009845,0.055810,1
0.009721,0.009916,0.055751,1
0.009282,0.010027,0.055748,1
0.009295,0.010057,0.055719,1
0.009190,0.010114,0.055693,1
0.009074,0.010132,0.055703,1
0.008935,0.010302,0.055589,1
0.008920,0.010290,0.055602,1
0.008668,0.010394,0.055568,1
0.008628,0.010474,0.055509,1
0.008588,0.010553,0.055451,1
0.008349,0.010693,0.055388,1
0.008218,0.010727,0.055390,1
0.008086,0.010761,0.055392,1
0.007911,0.010798,0.055403,1
0.007783,0.010820,0.055418,1
0.007654,0.010841,0.055433,1
0.007529,0.010990,0.055343,1
0.007387,0.011031,0.055344,1
0.007196,0.011020,0.055404,1
0.007078,0.011089,0.055378,1
